"OBJECTID","RISK_NO","RISKCATEGORY","FEATURE","DISCIPLINE","RISK_OPPORTUNITY_EVENT","CONCERNS","PDT_DISC_CONC","PDT_DISC_LIKELI_IMPACT","PDT_DISC_RISK_MANAG_STRATEGY","ACTION_ITEMS","RISK_STRATEGY","COST_LIKELIHOOD","COST_IMPACT","CONDITIONAL_FORMATTING","CONDITIONAL_FORMATTING2","CONDITIONAL_FORMATTING3","COST_RISK","COST_IMPACT_PER_PROJECT","SCHEDULE_LIKELIHOOD","SCHEDULE_IMPACT","SCHEDULE_RISK","SCHEDULE_IMPACT_PER_PROJECT","EFFICACY_IMPACT","EFFICACY_LIKELIHOOD","EFFICACY_RISK","TECHNICAL_POC","POC_REVIEW_DATE","TIMING_OF_DELAY","LESSONS_LEARNED","START_DATE","END_DATE","ACTIVE","TREND","IMPACT","OUTCOME","OWNER","MANAGEMENT_STATUS","FK_TABLE_ID","ENG_LEVEL","LEVEL_DATE","LAST_EDITED_DATE"
1603,"PPM-1","PROJECT & PROGRAM MGMT","Administrative","Project Management","Signing of a PPA","Concern that the PPA cannot be negotiated and signed on time.","","","","Continue to coordinate and negotiate with the State. Consider two phase PPA (acquire RE first?). Identified as Key Decision Point for December 2021 to commit to signing by December 2022 or identify alternative Plan.","Accept","Very Likely","Marginal","Orange","Red","Red","Moderate","$4-$24 Million","Very Likely","Critical","High","19.2-38.4 months","Crisis","Very Likely","High","Andy Leichty",01-JUL-21 12.00.00.000000000 AM,"Prior to Construction","",01-DEC-20 12.00.00.000000000 AM,01-DEC-22 12.00.00.000000000 AM,"Yes","Stable","PPA needs to be signed by December 2022 to maintain schedule. 95% design is scheduled for completion in April 2024.","","Andy Leichty","Open","PPM-1","Level 2",30-JUL-21 12.00.00.000000000 AM,14-DEC-21 03.37.59.000000000 PM
1603,"PPM-1","PROJECT & PROGRAM MGMT","Administrative","Project Management","Signing of a PPA","Concern that the PPA cannot be negotiated and signed on time.","","","","Continue to coordinate and negotiate with the State. Consider two phase PPA (acquire RE first?). Identified as Key Decision Point for December 2021 to commit to signing by December 2022 or identify alternative Plan.","Accept","Very Likely","Marginal","Orange","Red","Red","Moderate","$4-$24 Million","Very Likely","Critical","High","19.2-38.4 months","Crisis","Very Likely","High","Andy Leichty",01-JUL-21 12.00.00.000000000 AM,"Prior to Construction","",01-DEC-20 12.00.00.000000000 AM,01-DEC-22 12.00.00.000000000 AM,"Yes","Stable","PPA needs to be signed by December 2022 to maintain schedule. 95% design is scheduled for completion in April 2024.","","Andy Leichty","Open","PPM-1","Level 3",19-OCT-21 12.00.00.000000000 AM,14-DEC-21 03.37.59.000000000 PM
1614,"TR-8","TECHNICAL RISKS","All","Environment","Technology Effectiveness","There may be problems with achieving the desired effectiveness of the entire ANS control system.","","","","Continue R&D and to work on increasing the effectiveness in the adaptive management phase. Continue to communicate with senior leaders on how the technologies will work (or not work) with each other.","Accept & Mitigate","Likely","Marginal","Orange","Green","Red","Moderate","$4-$24 Million","Unlikely","Negligible","Low","0-4.8 months","Significant","Likely","High","Mark Cornish",01-JUL-21 12.00.00.000000000 AM,"Prior/During Construction","",01-AUG-21 12.00.00.000000000 AM,01-JAN-24 12.00.00.000000000 AM,"Yes","Stable","Impacts are likely.  Experimental Technologies may fail validation studies allowing invasive species to pass.  Redundancy requirement - Other components in the ANS control system would need to compensate for lost effectiveness. Irretrievable expenses - Design, installation, construction, testing, and removal costs would be irretrievable.  Impacts would be realized during operation.","","Kirk Sunderman","Open","TR-8","Level 1",22-JUL-21 12.00.00.000000000 AM,14-DEC-21 12.42.00.000000000 PM
2244,"TEST","IMPACTS TO PUBLIC SAFETY","","Economics","","testing","","","","","","","","Transparent","Transparent","Transparent","","","","","","","","","","",,"","",,,"Yes","","","","","Open","","",,15-DEC-21 11.35.00.000000000 AM
996,"TR-9","TECHNICAL RISKS","Acoustic Fish Deterrent","Environment","Acoustic Barrier R&D","Efficacy of Acoustics","Limited systems are being tested. One system is patented so we do not have the ability to test. Do we have the right system? Are fish responsive to the systems being tested in the field? We need to maintain at appropriate levels that do not disrupt navigation and local residence. Is it sustainable?","If it's not affective, may need to abandon concept for another deterrent system; R&D will take several years to reach conclusions; durability; sediment","Continued R&D; MVR support of testing at L&D 19 test site","Continued R&D; MVR support of testing at L&D 19 test site, Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","Green","Green","Green","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Marginal","Unlikely","Low","Christa Woodley",01-JUL-21 12.00.00.000000000 AM,"Both","",01-AUG-21 12.00.00.000000000 AM,01-JAN-23 12.00.00.000000000 AM,"Yes","Stable","Acoustics are likely to be less than 100% effective at deterring silver and bighead carp and will have no effect on floaters. If it's not effective, may need to abandon concept for another deterrent system; R&D will take several years to reach conclusions. Durability - Exposure to long-term submersion, sediment, and fluctuating temperatures are currently being tested at L&D 19. Redundancy requirement -  Other components in the ANS control system would need to compensate for lost effectiveness of the acoustic system.  Irretrievable expenses - Design, installation, construction, testing, and removal costs would be irretrievable. Safety - The US Coast Guard may request additional safety studies after installation.  This could lead to operating guidelines that are lower than the most effective volume.","","Mark Cornish","Open","TR-9","Level 1",19-JUL-21 01.32.32.000000000 PM,15-DEC-21 01.12.00.000000000 PM
667,"TR-9a","TECHNICAL RISKS","Acoustic Fish Deterrent","Environment","Acoustic Barrier R&D","Size & Number of Speaker Array","As the number of speakers increase, so will the construction and maintenance cost. Strive for modular design; redundancy","initial indication is the number of speakers can be reduced;","Continued R&D; re-evaluate BR acoustics cross walked with data collected at Lock 19 for improvements;","Continued R&D. Re-evaluate BR acoustics cross walked with data collected at Lock 19 for improvements. Market Research - Work with speaker manufacturer to increase production and look for other sources. AIS -  Research by Marin Kress and Ryan Jackson will inform the proper location for speaker arrays. Finish R&D, Design Charrettes, and preliminary design.","Accept","Unlikely","Negligible","Green","Green","Red","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Significant","Likely","High","Christa Woodley",01-JUL-21 12.00.00.000000000 AM,"Both","",01-AUG-21 12.00.00.000000000 AM,01-JAN-24 12.00.00.000000000 AM,"Yes","Increasing","It's likely that the number of speakers can be reduced. Reverse Flow - Fish stunned by the electric barrier may be carried past the acoustic barrier.  Once revived, these fish may be trapped in the Hotel California.","","Warren Lorentz","Open","TR-9a","Level 1",19-JUL-21 01.32.33.000000000 PM,15-DEC-21 01.22.00.000000000 PM
668,"TR-9b","TECHNICAL RISKS","Acoustic Fish Deterrent","Environment","Acoustic Barrier R&D","Ambient noise","Ambient noise could interfere with surroundings","ambient noise that affects community and navigation; impacts to public use of the adjacent area","Continued R&D; re-evaluate BR acoustics cross walked with data collected at Lock 19 for improvements; evaluate similarities between channel depths (Lock 19 & Brandon Road); evaluate affects on actual navigation vessels at Lock 19;","Continued R&D. Re-evaluate BR acoustics cross walked with data collected at Lock 19 for improvements. Evaluate similarities between channel depths (Lock 19 & Brandon Road). Evaluate affects on actual navigation vessels at Lock 19. Finish R&D, Design Charrettes, and preliminary design.","Accept","Unlikely","Negligible","Green","Green","Orange","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Marginal","Likely","Moderate","Christa Woodley",01-JUL-21 12.00.00.000000000 AM,"Both","",01-JAN-24 12.00.00.000000000 AM,01-JAN-25 12.00.00.000000000 AM,"Yes","Stable","Ambient noise could affect community and navigation. Possible impacts to public use of the adjacent area.","","Warren Lorentz","Open","TR-9b","Level 1",19-JUL-21 01.32.34.000000000 PM,15-DEC-21 01.29.00.000000000 PM
997,"TR-9h","TECHNICAL RISKS","Acoustic Fish Deterrent","Environment","Acoustic Barrier R&D","Ambient Noise","Ambient noise of the bridge could interfere with the acoustic deterrent","Bridge sounds overlapping with acoustic deterrent;","ERDC is aware of the risk; Conduct additional sound testing at Brandon Road.","ERDC is aware of the risk. Conduct additional sound testing at Brandon Road. 
Finish R&D, Design Charrettes, and preliminary design.","Accept","Unlikely","Negligible","Green","Green","Green","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Negligible","Unlikely","Low","Christa Woodley",01-JUL-21 12.00.00.000000000 AM,"Both","",01-JAN-23 12.00.00.000000000 AM,01-JAN-25 12.00.00.000000000 AM,"Yes","Stable","Possible bridge sounds overlapping with acoustic deterrent.","","Warren Lorentz","Open","TR-9h","Level 1",19-JUL-21 01.32.35.000000000 PM,15-DEC-21 01.48.00.000000000 PM
670,"TR-9c","TECHNICAL RISKS","Acoustic Fish Deterrent","Engineering - General ","Acoustic Barrier R&D","Noise on barges","Acoustic barrier can potentially resonate in the empty barges due to hollow hulls creating nuisance.","Could interfere with communications between deckhands and captains; empty barges becoming an amplifier of the sound; may lose efficacy of deterrent system if volume levels must be lowered; impacts to public use of the adjacent area","Continued R&D; collect data; evaluate affects on actual navigation vessels at Lock 19;","Continued R&D. Collect data and evaluate affects on actual navigation vessels at Lock 19. Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","Green","Green","Green","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Marginal","Unlikely","Low","Christa Woodley",01-JUL-21 12.00.00.000000000 AM,"Both","",01-JAN-24 12.00.00.000000000 AM,01-JAN-25 12.00.00.000000000 AM,"Yes","Stable","Could interfere with communications between deckhands and captains. Empty barges becoming an amplifier of the sound. May lose efficacy of deterrent system if volume levels must be lowered. Impacts to public use of the adjacent area.","","Warren Lorentz","Open","TR-9c","Level 1",19-JUL-21 01.32.36.000000000 PM,15-DEC-21 01.57.00.000000000 PM
671,"TR-9d","TECHNICAL RISKS","Acoustic Fish Deterrent","Environment","Acoustic Barrier R&D","Single source for speakers, sole proprietor","Single source production rate is very limited; sole source procurement required;","If we need to change to another source there will be an impact to design when it comes to housing size, channel layout/recesses etc.; pulse acoustic technologies;","conduct a sources sought of other speakers; development salient characteristics specifications;  laboratory testing of other systems; sources sought on salient conditions desired","Conduct a sources sought for other speakers. Development salient characteristics specifications. Laboratory testing of other systems. Sources sought on salient conditions desired. Finish R&D, Design Charrettes, and preliminary design","Accept & Mitigate","Unlikely","Negligible","Green","Red","Red","Low","$0-$4 Million","Very Likely","Critical","High","19.2-38.4 months","Significant","Likely","High","Christa Woodley",01-JUL-21 12.00.00.000000000 AM,"Both","",01-DEC-21 12.00.00.000000000 AM,01-JAN-23 12.00.00.000000000 AM,"Yes","Increasing","If we need to change to another source there will be an impact to design when it comes to housing size, channel layout/recesses etc. Pulse acoustic technologies.","","Warren Lorentz","Open","TR-9d","Level 1",19-JUL-21 01.32.37.000000000 PM,15-DEC-21 02.05.00.000000000 PM
998,"TR-9e","TECHNICAL RISKS","Acoustic Fish Deterrent","Environment","Acoustic Barrier R&D","Interaction with electrical barrier","We don't know what the effects the electric barrier or stray current will have on the speakers and their operation","May need a different speaker manufacturer, different sound systems may be needed. There are concerns with stray currents frying the acoustic speakers;","Test spare speakers in existing barrier to see impacts; collect field data on acoustics when they close the electric current; continued R&D;","Test spare speakers in existing barrier to see impacts, collect field data on acoustics when they close the electric current. Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","Green","Green","Green","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Marginal","Unlikely","Low","Christa Woodley",01-JUL-21 12.00.00.000000000 AM,"Both","",01-JAN-23 12.00.00.000000000 AM,01-JAN-24 12.00.00.000000000 AM,"Yes","Stable","May need a different speaker manufacturer and different sound systems may be needed. There are concerns with stray currents frying the acoustic speakers.","","Warren Lorentz","Open","TR-9e","Level 1",19-JUL-21 01.32.38.000000000 PM,15-DEC-21 02.08.00.000000000 PM
673,"TR-9g","TECHNICAL RISKS","Acoustic Fish Deterrent","Environment","Acoustic Barrier R&D","Interaction with Bubble Curtain","Don't know the effects air bubbles will have on sound","acoustic barrier performance may be diminished by bubble curtain;. Air normally effects sound propagation in water; two technologies combined have not included fish response; operational cost of air compressors at L19 in conjunction with acoustic testing","Testing at Lock 19 with air bubble curtain on can be done to collect data; look at other sites testing bubble curtains (Barkley, Peoria); look at funding OD for additional air compressor costs at testing sites","Testing at Lock 19 with air bubble curtain (sill bubbler sound mapping proposal with FY24 funds if available) can be done to collect data. Look at other sites testing bubble curtains (Barkley, Peoria). Look at funding OD for additional air compressor costs at testing sites. Finish R&D, Design Charrettes, and preliminary design.","Accept","Unlikely","Negligible","Green","Green","Orange","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Marginal","Very Likely","Moderate","Christa Woodley",01-JUL-21 12.00.00.000000000 AM,"Both","",01-JAN-23 12.00.00.000000000 AM,01-JAN-25 12.00.00.000000000 AM,"Yes","Stable","Acoustic barrier performance may be diminished by bubble curtain;. Air normally effects sound propagation in water. Two technologies combined have not included fish response. Review operational cost of air compressors at L19 in conjunction with acoustic testing.","","Warren Lorentz","Open","TR-9g","Level 1",19-JUL-21 01.32.39.000000000 PM,15-DEC-21 02.13.00.000000000 PM
674,"TR-9f","TECHNICAL RISKS","Acoustic Fish Deterrent","Environment","Acoustic Performance over time","Operability, maintainability, sustainability","Acoustic system has not been tested for 25 or 50 yr. operation","Unknown until measured; increased maintenance and/or repair/replacement","Test speakers for an extended period of time;  measure the success (durability and any degradation) at Locks 19 & 6;","Test speakers for an extended period of time and  measure the success (durability and any degradation) at Locks 19 & 6. Finish R&D, Design Charrettes, and preliminary design.","Accept","Unlikely","Negligible","Green","Green","Red","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Significant","Likely","High","Christa Woodley",01-JUL-21 12.00.00.000000000 AM,"Both","",01-JAN-23 12.00.00.000000000 AM,01-JAN-25 12.00.00.000000000 AM,"Yes","Stable","Unknown until measured. Increased maintenance and/or repair/replacement.  Impacts would be realized during operation, would not impact construction cost or schedule.","","Warren Lorentz","Open","TR-9f","Level 1",19-JUL-21 01.32.40.000000000 PM,15-DEC-21 02.18.00.000000000 PM
2247,"TR-22","TECHNICAL RISKS","Engineering Channel","Engineering - General ","Remote dam operation","Tainter gates in ice chute. Stability concerns, hydrographic erosion of the downstream rock, dam anchor interference, redundancy of the flushing system (can we use one gate?), debris.","","","","PDT needs to do the initial analysis on the flow conditions for erosion and impacts to the post tension anchors for dam stability for loss of mass in sliding and overturning.  If this isn't feasible, we would look into the head gate automation or the original plan (remote operation of 6 gates).","Accept & Mitigate","Unlikely","Negligible","Green","Green","Green","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Negligible","Unlikely","Low","Nic Patterson",30-JUL-21 12.00.00.000000000 AM,"Prior to Construction","",04-OCT-21 12.00.00.000000000 AM,02-OCT-23 12.00.00.000000000 AM,"Yes","Stable","The team has solutions to address the concerns. Backup plan: We would revert back to manual operation of the six gates.","","John Behrens","Open","TR-22","Level 1",04-OCT-21 12.00.00.000000000 AM,15-DEC-21 02.40.00.000000000 PM
2248,"TR-23","REGULATORY AND ENVIRONMENTAL RISKS","Administrative","Policy","Project Footprint & Operations","Illinois Public Body of Water Impacts - mitigation only.","","","","The team is working through the constraints to find a solution. 11/16/21 The federal gov't will apply for all permits required through federal law. Pursue remapping the floodway (USACE). Continue working through design and updating floodway mapping.","Accept & Mitigate","Unlikely","Marginal","Green","Green","Green","Low","$4-$24 Million","Unlikely","Negligible","Low","0-4.8 months","Negligible","Very Unlikely","Low","Kirk Sunderman",13-OCT-21 12.00.00.000000000 AM,"Prior to Construction","",13-DEC-21 12.00.00.000000000 AM,02-OCT-23 12.00.00.000000000 AM,"Yes","Increasing","Electric Barrier and bubble curtain influence on recreational/private watercraft boating on Public Water. Recreational/private watercraft protected from electrical current and bubble impacts. The risk can be mitigated during design by creating better fishing access and a boat ramp. Mitigation for private boating impacts could include a public boat ramp and associated facilities as part of the project.  Development of the river side of the divider island peninsula and/or opposite bank of the river could serve to mitigate these known project impacts.  Lock cycle times must not be diminished to the extent that it causes a mode shift to other means of goods transportation.","","Loren Wobig","Open","","",,22-DEC-21 08.09.00.000000000 AM
664,"TR-7","TECHNICAL RISKS","Flushing Lock","","Flushing Lock Valves ","There are existing utilities/duct banks that run parallel to the lock walls, is there enough space to fit in culvert, avoidance strategy","New 6x6 culvert….proper space to fit within the existing lock structure?  Additional valve to force water through these valves, sequencing of valves, four valves needed to isolate the ports.","could prevent flushing from being feasible from the large upstream port which could result in less than desired efficiency.","Structures completed analysis and found there is space to construct what is needed","Complete Design Charrettes and preliminary design","Accept & Transfer","Unlikely","Negligible","Green","Green","Transparent","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","","","","Nic Patterson",,"Both","",,,"No","","","","","Open","TR-7","Level 1",19-JUL-21 01.32.31.000000000 PM,22-DEC-21 05.02.55.000000000 PM
965,"TR-1C","TECHNICAL RISKS","Flushing Lock","","Flushing Lock, Filling/Emptying System","Model construction fitting within our timeline","We'll want enough modeling to have a definitive path forward to complete design, we may be changing operational requirements for dam operation if a flushing lock is incorporated.  If we don't have remote operations of the dam now, does this require a separate process?","We need modeling to complete design of the flushing lock; If we adopt a flushing lock procedure, we will need to mitigate water usage through the lock so we are not passing extra water over the dam.","Have regular communication with ERDC to set milestones and to ensure delivery of the physical model construction and delivery of the results.","Finish R&D; receiving monthly/bi-weekly reports from ERDC","Mitigate & Transfer","Unlikely","Negligible","Green","Green","Transparent","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","","","","Nic Patterson",,"Prior","",,,"No","","","","","Open","","",,22-DEC-21 05.02.55.000000000 PM
