"OBJECTID","TABLE_NAME","FK_TABLE_ID","DISCUSSION","LOGGED_BY","LOG_DATE","CREATED_USER","CREATED_DATE","LAST_EDITED_USER","LAST_EDITED_DATE","ACTIVE","RESPONSIBLE_POC","POC_REVIEW_DATE"
53,"RISK_REGISTER","TR-9e","We don't know what the effects the electric barrier or stray current will have on the speakers and their operation.","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.00.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.00.000000000 PM,"","John Behrens",30-JUL-21 12.00.00.000000000 AM
28,"RISK_REGISTER","TR-9g","Don't know the effects air bubbles will have on sound.","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.00.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.00.000000000 PM,"","Mark Cornish",30-JUL-21 12.00.00.000000000 AM
1924,"RISK_REGISTER","TR-9g","This R&D activity will not occur. Possibly conduct R&D in FY24 if additional funding is available.","","","",,"",,"","Andy Leichty",04-OCT-21 12.00.00.000000000 AM
29,"RISK_REGISTER","TR-9f","Acoustic system has not been tested for 25 or 50 yr. operation.","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.00.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.00.000000000 PM,"","Mark Cornish",30-JUL-21 12.00.00.000000000 AM
1925,"RISK_REGISTER","TR-21","Velocity testing could be conducted in FY24 pending the availability of funds. This is related to the channel width and water displacement. Team is looking how to address this information gap, seeking what information we can obtain from multiple sources, no SOW yet. We are adding this to physical modeling. This doesn't have to be associated with barge traffic. Look into other factors that create reverse velocities besides barges. H&H is working on how much water will be discharged through the lock empty filling system. Pushing barges downstream. Currently flushing at 1350 cfs. A response plan would need to be executed in order to lower the risk.","","","",,"",,"","John Behrens",21-SEP-21 12.00.00.000000000 AM
1926,"RISK_REGISTER","TR-21","We will consult with USGS to provide velocity measurements. The velocity testing will be reviewed in the ongoing downstream approach modeling. ","","","",,"",,"","John Behrens",07-OCT-21 12.00.00.000000000 AM
1927,"RISK_REGISTER","TR-22","The initial engineering analysis must be performed to validate the proposal from Charrette #3. We may be able to avoid the anchor. Possibly conduct remote operation of the head gates.  Waiver for post tension anchors may be required. ","","","",,"",,"","John Behrens",04-OCT-21 12.00.00.000000000 AM
1287,"RISK_REGISTER","TR-1a","The decisions made to narrow the channel will magnify this concern. It also affects the pre-lockage/mooring. The lock operational procedures may need to be modified to maximize water exchange.","","","",,"",,"","John Behrens",19-JUL-21 12.00.00.000000000 AM
1292,"RISK_REGISTER","TR-1d","The team will conduct queuing analysis. AIS testing will begin October 2021.","Marisa Lack","5-Oct-2021","",,"",,"","John Behrens",05-OCT-21 12.00.00.000000000 AM
1291,"RISK_REGISTER","TR-1d","Is high tail water a concern when flushing the lock? PDT is constrained by allowable time of 15 minutes and we may find that more time is needed to flush. May be desired biologically but constrained economically. There are supply water constraints depending on time of year.","Marisa Lack","14-Oct-2021","",,"",,"","John Behrens",14-OCT-21 12.00.00.000000000 AM
1290,"RISK_REGISTER","TR-1d","We could not conduct numeric modeling of barges in the chamber to measure the effectiveness of flush. How often will we be able to flush during certain times of the year? How do we buy down risk with physical modeling?","Marisa Lack","20-Oct-2021","",,"",,"","John Behrens",19-JUL-21 12.00.00.000000000 AM
659,"RISK_REGISTER","TR-6e","Are there impacts to navigation maneuverability & operations resulting from the shape, width, length, depth and alignment of the engineered channel?  If delays are incurred during lock through of the engineered channel this will impact the amount of flushing time that can be allowed for floaters.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.00.000000000 PM,"","Kirk Sunderman",22-JUL-21 12.00.00.000000000 AM
1288,"RISK_REGISTER","TR-6e","PDT is constrained by allowable time of 15 minutes and we may find that more time is needed to flush. May be desired biologically but constrained economically.","Marisa Lack","14-Oct-2021","",,"",,"","John Behrens",14-OCT-21 12.00.00.000000000 AM
1289,"RISK_REGISTER","TR-6e","The team will conduct queueing analysis. AIS testing will begin October 2021.","Marisa Lack","5-Oct-2021","",,"",,"","John Behrens",05-OCT-21 12.00.00.000000000 AM
660,"RISK_REGISTER","TR-6g","Are there impacts to navigation maneuverability & operations resulting from the shape, width, length, depth and alignment of the engineered channel and the construction method required to implement? Project construction, maintenance, and rehabilitation will cause closure of the lock impacts commerce, agriculture, and manufacturing who rely on marine transported products.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.00.000000000 PM,"","Kirk Sunderman",22-JUL-21 12.00.00.000000000 AM
1614,"RISK_REGISTER","TR-6g","The team will conduct queuing analysis. AIS testing will begin October 2021.","Marisa Lack","5-Oct-2021","",,"",,"","John Behrens",05-OCT-21 12.00.00.000000000 AM
1928,"RISK_REGISTER","TR-6g","Ensure hydraulic conditions against construction layout are favorable and economic to the overall project.","","","",,"",,"","John Behrens",07-DEC-21 12.00.00.000000000 AM
661,"RISK_REGISTER","TR-6f","Consideration of any construction or permanent features that could impact the existing floodway. Mitigation required to offset floodway impacts.  Also Part 3708 floodway appropriate use must be considered to avoid construction in the floodway that obstructs floodway conveyance and storage.  Ecosystem wall is not an appropriate use under the regulation.  A state of Illinois permit will be required for this work.  Cyclone fencing not allowed in floodway.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",22-OCT-21 03.51.00.000000000 PM,"","Loren Wobig",05-OCT-21 12.00.00.000000000 AM
663,"RISK_REGISTER","TR-10","If controls are required to be in the same facility then this concern comes into play. The existing control house is on the Historic National Register.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.00.000000000 PM,"","Kirk Sunderman",22-JUL-21 12.00.00.000000000 AM
31,"RISK_REGISTER","TR-17","The Corps' interests in navigation take priority over any hydropower interests.  An agreement with any hydropower facility would need to be negotiated to allow proper operation of the project.","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.00.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.00.000000000 PM,"","Kirk Sunderman",19-JUL-21 12.00.00.000000000 AM
32,"RISK_REGISTER","TR-18a","water column distribution of current, shallower channel depth, what is the consequence at Brandon Road, leads to material choices and voltages, can we accommodate the same design as at Romeoville?","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.00.000000000 PM,"BRANDONROAD",22-OCT-21 03.51.00.000000000 PM,"","John Behrens",19-JUL-21 12.00.00.000000000 AM
48,"RISK_REGISTER","TR-18b","Current assumption from feasibility is the electric barrier will be off when traffic navigates through the engineered channel and lock.  USCG will provide the final regulated navigation area dictating the operating, safety, and closure procedures for the area including when the barrier must be turned off.  The equipment must be installed and operational first then USCG tests system to determine regulated area.","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.00.000000000 PM,"BRANDONROAD",22-OCT-21 03.51.00.000000000 PM,"","Kirk Sunderman",19-JUL-21 12.00.00.000000000 AM
55,"RISK_REGISTER","TR-19","Need to know what we are designing towards in terms of allowable delay including operation of barriers, time of flushing, etc. 15 min flushing time was a study assumption, is that a correct assumption, how much buy back can we realize in times savings, total transit time, need the baseline to measure, what does this mean for the next boat up if stacked up at Lockport or downstream, how does it relate to the LPMS data over a period of time, negligible, slight, large impact?  Look into queuing for barges to mitigate time, are we designing for the time a deck hand has to walk to front of boat?  What are specific design parameters we are looking to address? How will maritime transportation businesses and  jobs be impacted by the project?","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.00.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.00.000000000 PM,"","John Behrens",19-JUL-21 12.00.00.000000000 AM
981,"RISK_REGISTER","TR-19","Conduct queuing analysis; AIS testing will begin October 2021. Design components that can be easily replaced in the future.","Kayleigh Thomas","20-Aug-2021","",,"",,"","John Behrens",05-OCT-21 12.00.00.000000000 AM
56,"RISK_REGISTER","TR-20","Have not determined best bubbler layout pattern which would effect future work,  don't have design parameters, taking concept to implementation, never been done before, how does this interact with other technologies?  Research scheduled for FY22, provide best design we can now but may need to modify, What kind of flexibility can be designed in the feature to allow for adaptive management? Define design parameters.","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.00.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.00.000000000 PM,"","Mark Cornish",19-JUL-21 12.00.00.000000000 AM
1929,"RISK_REGISTER","TR-20","This testing is required to analyze navigation impacts for safe vessel transit through this deterrent without loss of maneuverability.  This testing is needed for the PDT to prove feasibility of installing bubbler deterrent system in unimproved channel environments to aid in decision making for charrette proposals affecting geometry of the engineered channel which have large project cost savings associated with them that could be as much as 100 times the cost to perform this research.  If we miss the fall schedule we will have to delay to the Spring and this will not align with initiation of P&S schedule. ","","","",,"",,"","Mark Cornish",23-SEP-21 12.00.00.000000000 AM
1931,"RISK_REGISTER","REGEN-1","changed to inactive - combined and updated into REGEN-9 and REGEN-8","","","",,"",,"","Loren Wobig",13-OCT-21 12.00.00.000000000 AM
664,"RISK_REGISTER","REGEN-2","Lock 19 shows there is sound outside of the water. The sound levels are within acceptable decibel levels.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.00.000000000 PM,"","Kirk Sunderman",19-JUL-21 12.00.00.000000000 AM
1932,"RISK_REGISTER","REGEN-8","Compensatory storage will be is required for the fill on the left descending bank (rubble mound) in the floodway of the Des Plaines River.  Local NFIP ordinances dictate what comp storage may be required in the floodplain fringe.","","","",,"",,"","Loren Wobig",13-OCT-21 12.00.00.000000000 AM
1933,"RISK_REGISTER","REGEN-9","Consideration of any construction and/or operation of permanent features that could impact the existing Public Body of Water use.  Mitigation required to offset Public Body of Water impacts to public safety, public water access, navigation, transportation, recreation, and aquatic species.  Also Part 3704 Public Water Use must be considered to avoid, minimize and/or mitigate construction and/or project operation activities in the Public Water.    A state of Illinois permit will be required for this work.","","","",,"",,"","Loren Wobig",13-OCT-21 12.00.00.000000000 AM
1934,"RISK_REGISTER","REGEN-9","The federal gov't will apply for all permits required through federal law. Pursue remapping the floodway (USACE). ","","","",,"",,"","Andy Leichty",16-NOV-21 12.00.00.000000000 AM
666,"RISK_REGISTER","EN-1","The NRG site had a Phase I Environmental assessment completed, and the recommendation of the Phase I was a Phase II Environmental Site Investigation. Site history includes documented USACE use for dredged material disposal, and possible fly ash disposal. Illinois Environmental Protection Agency personnel noted evidence of fly ash disposal and other materials.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.00.000000000 PM,"","Andy Leichty",22-JUL-21 12.00.00.000000000 AM
667,"RISK_REGISTER","RE-1","Midwest Gen Property may not be acquired either because remediation requirements are to costly or time consuming or the sponsor is unable to negotiate access to the site to determine site conditions.  Additional engineering/design time would be required to develop plan for the left descending bank.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.00.000000000 PM,"","Andy Leichty",22-JUL-21 12.00.00.000000000 AM
50,"RISK_REGISTER","TR-6h","Upload from spreadsheet:  PDT Discussions and Conclusions: Right sizing it for incremental construction; operations resources; foundation system given site may be capped if HTRW is present; future expandability for future technologies; We may not be able to get HTRW information in time to meet 2024 construction schedule; Reason for the schedule risk is due to impacts to construction methods that may be required to construct on the peninsula.; PDT Discussion on Likelihood and Impact: The location could jeopardize overall project costs if we use LDB for construction; Risk Managment Discussion: ROE to NRG to explore and sample ground; dialog with utility companies;  identify the closest source of power for delivery to site; Engineering Charrette (operations); get more permanent RE for future expansion if needed; creation of utility corridors/duct banks; investigating the possibility to construct on the LDB","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",22-OCT-21 03.51.44.000000000 PM,"","",
652,"RISK_REGISTER","CA-1","The team will address this when we get closer to construction.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.00.000000000 PM,"","Marisa Lack",13-DEC-21 12.00.00.000000000 AM
653,"RISK_REGISTER","CA-2","The team will address this when we get closer to construction.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.00.000000000 PM,"","Marisa Lack",13-DEC-21 12.00.00.000000000 AM
656,"RISK_REGISTER","CA-3","The team will address this when we get closer to construction.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.00.000000000 PM,"","Marisa Lack",13-DEC-21 12.00.00.000000000 AM
657,"RISK_REGISTER","CA-4","The team will address this when we get closer to construction.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.00.000000000 PM,"","Marisa Lack",13-DEC-21 12.00.00.000000000 AM
658,"RISK_REGISTER","CA-5","The team is currently working on IDIQ capabilities.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.00.000000000 PM,"","Marisa Lack",13-DEC-21 12.00.00.000000000 AM
654,"RISK_REGISTER","PPM-1","Illinois has indicated in the past five years that they are unable to sign a Project Partnership Agreement, have issue with ""hold harmless"" and maintain in perpetuity. Illinois is also seeking financial support from the Great Lakes States and 95% design completion prior to signing PPA.","Marisa Lack","02-Sep-2021","",,"BRANDONROAD",21-SEP-21 04.14.00.000000000 PM,"","Marisa Lack",13-DEC-21 12.00.00.000000000 AM
655,"RISK_REGISTER","PPM-2","There is strong support for the project and the project is fully funded through the second year of a projected 3 year phase.","Marisa Lack","02-Sep-2021","",,"BRANDONROAD",21-SEP-21 04.14.00.000000000 PM,"","Marisa Lack",13-DEC-21 12.00.00.000000000 AM
662,"RISK_REGISTER","TR-8","Exploring new technologies and existing technologies in different environments. Balance between efficacy and navigation impacts. USCG to determine operating procedures after construction.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.00.000000000 PM,"","Marisa Lack",
1921,"RISK_REGISTER","TR-8","This risk could also be viewed as a positive because it is an opportunity to validate new technologies in the intended environment (large scale). The project efficacy was assessed based on project risk, not opportunity. ","","","",,"",,"","Mark Cornish",10-DEC-21 12.00.00.000000000 AM
51,"RISK_REGISTER","TR-9","Limited systems are being tested. One system is patented so we do not have the ability to test. Do we have the right system? Are fish responsive to the systems being tested in the field? We need to maintain at appropriate levels that do not disrupt navigation and local residence. Is it sustainable?","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.00.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.00.000000000 PM,"","Mark Cornish",
1922,"RISK_REGISTER","TR-9","In regards to safety, the effects of exposure on a person in the water to sound are untested.","","","",,"",,"","Mark Cornish",10-DEC-21 12.00.00.000000000 AM
671,"RISK_REGISTER","RE-1","Develop cost estimate and layout on the LDB. Look at alternate design methods.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.00.000000000 PM,"","Andy Leichty",28-JUL-21 12.00.00.000000000 AM
669,"RISK_REGISTER","OPP-1","Scopes of work being finalized for physical model, anticipate model completion within 18 months?  Modeling data will provide…., should include consideration of channel depth for vessel departure.; do not want to create a habitat for fish at approach channel ahead of barriers;  angled barrier(s) at the entrance (peninsula pulled back).","Marisa Lack","29-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.00.000000000 PM,"","John Behrens",12-JUL-21 12.00.00.000000000 AM
1615,"RISK_REGISTER","OPP-1","ERDC has initiated building models.","","","",,"",,"","Kirk Sunderman",12-JUL-21 12.00.00.000000000 AM
1616,"RISK_REGISTER","OPP-1","Opportunity to improve navigation conditions better than what it is now.","","","",,"",,"","Kirk Sunderman",12-JUL-21 12.00.00.000000000 AM
1935,"RISK_REGISTER","OPP-1","modeling is underway; continue weekly meetings with ERDC; follow up with AIS data areas","","","",,"",,"","John Behrens",15-JUL-21 12.00.00.000000000 AM
1936,"RISK_REGISTER","OPP-2","Conducting navigation workshops to work with Navigation Industry. Goal of the project is to minimize impacts to industry. This is an opportunity to minimize impacts to navigation. ","","","",,"",,"","John Behrens",22-JUL-21 12.00.00.000000000 AM
2241,"RISK_REGISTER","RE-2","Changed to inactive as this risk is covered under RE-1.","","","",,"",,"","Andy Leichty",22-SEP-21 12.00.00.000000000 AM
2242,"DECISION_REGISTER","TEST4","test discussion","","","",,"",,"","",
2243,"RISK_REGISTER","TEST-2","test","","","",,"",,"","",
2244,"DECISION_REGISTER","TEST6","test discussion","","","",,"",,"","",30-DEC-21 12.00.00.000000000 AM
2245,"RISK_REGISTER","TEST-2","test","","","",,"",,"","",
668,"RISK_REGISTER","RE-2","Currently the state's negotiations with the land owner are proceeding in a positive fashion. It appears the land owner is a willing seller.","Marisa Lack","29-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.00.000000000 PM,"","Marisa Lack",
962,"RISK_REGISTER","RE-2","Continue to work with IL on land acquisitions.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.00.000000000 PM,"","Marisa Lack",
665,"RISK_REGISTER","REGEN-1","Compensatory storage will be is required for the fill on the left descending bank (rubble mound) in the floodway of the Des Plaines River.  Local NFIP ordinances dictate what comp storage may be required in the floodplain fringe.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.00.000000000 PM,"","Marisa Lack",
961,"RISK_REGISTER","REGEN-1","Needs to be investigated.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.00.000000000 PM,"","Marisa Lack",
1293,"RISK_REGISTER","REGEN-1","The volume of material and footprint must be defined.","Marisa Lack","22-Jul-2021","",,"",,"","",
58,"RISK_REGISTER","TR-9b","Ambient noise could interfere with surroundings.","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.00.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.00.000000000 PM,"","",
